Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01/01/25,14.9,21.7,0,8.2,8.3,SSE,41,17:34,17.1,69,7,SSW,9,1016.7,20.8,54,1,S,15,1016.5
02/01/25,14.3,20.4,0,8.4,12.5,SSW,41,14:30,17.5,46,6,SE,17,1022.7,19.9,44,1,S,17,1022.1
03/01/25,11.3,25.4,0,10.4,13.5,SSW,30,14:50,16.7,61,1, ,Calm,1019.8,24.2,50,1,SSW,11,1014.6
04/01/25,16.2,37.4,0,10,10,NNW,31,10:06,24.6,49,3,NNE,6,1012.2,36.2,12,7,W,6,1009.4
05/01/25,19.2,38,0,15.6,4.6,N,37,14:06,25.3,36,7,NNE,13,1011.5,36.9,15,6,N,19,1008.4
06/01/25,17.1,18.9,2.2,15.8,0.3,SSW,33,18:36,17.1,91,8,SSW,11,1017.2,16.1,83,8,S,13,1019.6
07/01/25,14.5,25.3,24.6,4.4,12,SE,43,14:09,18.4,57,1,SE,11,1023.2,24.3,46,7,SE,20,1020.7
08/01/25,12.9,30.2,0,7.4,13.2,SSE,33,15:08,18.2,66,1,NNE,7,1020.6,28.5,39,3,SSW,13,1016
09/01/25,18,32.5,0,11.4,6.1,N,41,10:36,24.1,43,7,N,17,1015.4,29.5,28,7,NW,15,1013.7
10/01/25,18.1,26.8,0,9,10.8,SSW,31,13:03,21.5,64,7, ,Calm,1015.6,26.2,55,5,SSW,13,1013.6
11/01/25,18.9,34.2,0,10,9,NNW,41,8:34,25.6,55,1,NNE,9,1011.4,32.3,34,7,SSW,11,1007.2
12/01/25,20.5,28.1,0,10.2,2.7,N,33,4:00,25.3,55,6,N,17,1007.3,21.2,90,8,WNW,2,1009.2
13/01/25,18.9,25.3,31,1.8,10.5,S,33,15:33,20.7,75,7,N,2,1008.7,23.4,71,6,SSW,15,1006.5
14/01/25,18,27,0,6.2,11.1,SSW,28,12:26,19.1,75,7,NNW,2,1009.3,22.8,67,1,SSW,17,1007
15/01/25,18.8,24.1,0,8,0.3,S,48,17:42,22.8,74,7,SSW,9,997.7,22.4,64,7,S,11,998.9
16/01/25,13.7,21.6,2.2,0.8,9.9,SSW,35,10:27,16.1,70,7,SW,7,1010.9,20.7,48,4,S,15,1012.9
17/01/25,16.1,21.4,2.2,7.4,10.6,SSW,39,14:51,19.4,65,6,SSE,13,1018.8,20.2,57,1,S,19,1020.2
18/01/25,16.1,30.3,0.2,7.2,13.4,SE,33,2:49,19.7,59,1,E,7,1021.6,26.9,35,0,SSW,11,1018.9
19/01/25,16,33.9,0,8.2,11.2,SSW,31,13:28,22.1,59,1,ENE,2,1018.4,32.9,20,6,SSW,13,1014.2
20/01/25,18.3,34.6,0,11.8,6.1,SSE,31,16:12,23.1,56,7,NNE,6,1011.5,33.9,23,7,SSE,7,1007.5
21/01/25,19.3,28.3,0,11.8,11.5,SSW,43,16:47,22.9,73,1,WNW,4,1008.6,25.4,67,1,SSW,19,1004.1
22/01/25,17.6,22.1,0,8,8,S,43,15:37,18.5,63,7,S,15,1012.4,20.9,55,5,SSW,19,1013.3
23/01/25,13.2,20.4,0,7.6,1.2,SSW,35,15:34,16.9,64,8,S,7,1010.5,18.9,72,8,S,15,1008.7
24/01/25,14.6,23.3,0,4.8,10.9,SSW,39,23:30,16.8,63,7,SW,11,1012.6,21.6,44,2,SSE,15,1012.4
25/01/25,16.7,24.8,0,6.8,10.3,SSW,37,17:23,19.1,66,7,SSE,4,1013.9,23.6,46,1,SSE,9,1012.9
26/01/25,16.8,25.3,0,7.8,10.3,S,33,12:02,19.5,71,7,E,11,1016,21.7,60,3,SSW,17,1013.1
27/01/25,17,39.8,0,7.8,9.1,N,48,11:59,25.3,52,5,N,11,1006,37.8,23,2,NNW,19,1001.6
28/01/25,18.2,22.6,0.2,14.4,8.9,SSW,39,13:08,18.9,61,7,SSW,15,1014.5,21.6,45,5,S,19,1017.1
29/01/25,15.5,,0,9.4,10.3,,,,17.8,50,7,SE,11,1018.9,19.6,52,5,S,17,1018
30/01/25,,,,8.8,8.7,,,,17.3,53,7,SSE,11,1016.3,20.2,45,1,SSW,17,1016
31/01/25,,22.5,,7.2,12.9,SSW,41,14:03,19.1,61,6,SSE,9,1019.3,22.5,54,1,SSW,15,1018.3